CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
1,Company_1,Retail,Latin America,2015,459.2,6.0,337.5,,57.0,60.7,33.5,76.8,35577.4,17788.7,71154.7
1,Company_1,Retail,Latin America,2016,473.8,4.6,366.6,3.2,56.7,58.9,32.8,78.5,37314.7,18657.4,74629.4
1,Company_1,Retail,Latin America,2017,564.9,5.2,313.4,19.2,56.5,57.6,34.0,77.8,45006.4,22503.2,90012.9
1,Company_1,Retail,Latin America,2018,558.4,4.3,283.0,-1.1,58.0,62.3,33.4,78.3,42650.1,21325.1,85300.2
1,Company_1,Retail,Latin America,2019,554.5,4.9,538.1,-0.7,56.6,63.7,30.0,76.1,41799.4,20899.7,83598.8
1,Company_1,Retail,Latin America,2020,567.5,6.0,384.1,2.3,55.7,65.1,28.5,73.5,42245.4,21122.7,84490.9
1,Company_1,Retail,Latin America,2021,604.2,5.2,479.3,6.5,55.6,66.8,25.5,74.6,44263.8,22131.9,88527.7
1,Company_1,Retail,Latin America,2022,593.2,4.2,248.4,-1.8,57.7,69.0,27.1,76.9,42536.3,21268.2,85072.6
1,Company_1,Retail,Latin America,2023,636.7,5.3,373.9,7.3,57.8,68.3,27.0,78.1,45956.3,22978.2,91912.6
1,Company_1,Retail,Latin America,2024,687.0,4.6,460.1,7.9,58.5,68.9,29.9,76.8,49289.1,24644.5,98578.1
1,Company_1,Retail,Latin America,2025,734.5,5.0,628.8,6.9,59.2,70.7,29.1,78.0,51805.8,25902.9,103611.7
2,Company_2,Retail,Asia,2015,2934.8,-2.9,1803.1,,59.9,61.1,48.6,69.8,226554.2,113277.1,453108.3
2,Company_2,Retail,Asia,2016,3140.3,-1.1,13885.2,7.0,60.6,61.1,50.1,70.5,242555.1,121277.6,485110.3
2,Company_2,Retail,Asia,2017,3463.1,-2.2,5283.7,10.3,61.7,61.4,53.1,70.5,266651.3,133325.7,533302.7
2,Company_2,Retail,Asia,2018,2939.7,-1.7,4408.0,-15.1,61.5,61.7,52.0,70.6,225701.3,112850.6,451402.6
2,Company_2,Retail,Asia,2019,3125.6,1.2,566.4,6.3,61.1,63.1,52.5,67.8,237019.5,118509.7,474039.0
2,Company_2,Retail,Asia,2020,2999.8,-0.3,1997.8,-4.0,63.3,64.2,57.9,67.9,225128.2,112564.1,450256.4
2,Company_2,Retail,Asia,2021,3167.9,-0.4,15634.9,5.6,63.0,62.9,60.0,66.1,240710.6,120355.3,481421.2
2,Company_2,Retail,Asia,2022,3106.4,0.8,514.3,-1.9,64.0,66.7,57.7,67.8,227761.4,113880.7,455522.7
2,Company_2,Retail,Asia,2023,3691.6,-0.7,2523.2,18.8,66.0,66.6,61.6,70.0,271015.1,135507.6,542030.3
2,Company_2,Retail,Asia,2024,3822.9,-1.2,5807.8,3.6,65.7,65.4,63.0,68.7,283660.0,141830.0,567320.0
2,Company_2,Retail,Asia,2025,4371.5,-2.4,20376.3,14.4,66.3,65.8,62.8,70.3,323282.0,161641.0,646564.1
3,Company_3,Transportation,Latin America,2015,259.7,5.9,140.2,,25.5,3.3,41.6,31.5,183314.5,30552.4,611048.2
3,Company_3,Transportation,Latin America,2016,245.2,8.5,224.0,-5.6,26.9,7.0,40.2,33.5,169346.3,28224.4,564487.8
