Title,ESG_Company_Related,Sentiment,label
Piper Sandler Hires Diversity & Inclusion Director Analia Alonso,yes,positive,3
"FDA approves first drug, Eiger's Zokinvy, for rare rapid-aging disease",yes,positive,3
Jihadist mobilization makes Europe vulnerable to terrorist attacks post 9/11,no,not_esg,0
"GM to invest $ 1 billion in Mexico for electric vehicle production, angering UAW members",yes,positive,3
"Elanco Animal Health Incorporated: ROSEN, A TRUSTED AND TOP RANKED FIRM, Reminds Elanco Animal Health Incorporated Investors of Important July 20 Deadline in Securities Class Action - ELAN",yes,negative,1
ReneSola: Power to Present at Credit Suisse Renewables and Utilities Virtual Conference,yes,neutral,2
Raise Marketplace Launches Fraud Prevention Solution rZero to Help Corporations Fight Digital Fraud,yes,positive,3
Polish fraud fighter Nethone raises $ 6.7 million,yes,neutral,2
"Investor Alert: Kaplan Fox Investigates Potential Securities Fraud At FireEye, Inc.",yes,negative,1
Previewing Googles defense in digital ad monopoly litigation: Frankel,yes,negative,1
Food Brands Are Finally Changing Their Racist Mascots—But Is It Enough?,yes,neutral,2
China Shipped a Colossal Piece of The World's Largest Fossil Fuel Plant to Russia,no,not_esg,0
"INVESTOR ALERT: Law Offices of Howard G. Smith Announces the Filing of a Securities Class Action on Behalf of Cassava Sciences, Inc. ( SAVA) Investors",yes,negative,1
"Mafia network ' at centre of Covid fund fraud in DR Congo, says junior minister",no,not_esg,0
Clean Energy to Report Third Quarter 2020 Financial Results on November 5; Conference Call To Follow at 1:30 p.m. PST,yes,neutral,2
"BMC INVESTOR ALERT by the Former Attorney General of Louisiana: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of BMC Stock Holdings, Inc. - BMCH",yes,negative,1
"Glancy Prongay & Murray LLP: a Leading Securities Fraud Law Firm, Announces the Filing of a Securities Class Action on Behalf of Amdocs Limited ( DOX) Investors",yes,negative,1
INVESTOR ALERT: Law Offices of Howard G. Smith Announces Investigation of Omeros Corporation ( OMER) on Behalf of Investors,yes,negative,1
FDA approval of AquaBounty GM salmon heads to appeals court,yes,neutral,2
Siemens Gamesa Renewable Energy S A: CMD presentation,yes,neutral,2
Wise: The Public and Private Sector Needs to be Held to Account Over IBAN Discrimination,no,not_esg,0
Models Protested Against Forced Labor in Fashion Outside of a NFYW Venue,no,not_esg,0
"Carbon capture is vital to meeting climate goals, scientists tell green critics",no,not_esg,0
LafargeHolcim Announces Global Rollout of Low-Carbon Concrete,yes,positive,3
Previewing Googles defense in digital ad monopoly litigation: Frankel,yes,negative,1
Boosting the Efficiency of Electrochemical Carbon Capture and Conversion Systems,no,not_esg,0
RENAULT: PARTNERS WITH VULCAN ENERGY IN THE ZERO CARBON LITHIUMTM PROJECT,yes,positive,3
GM says it is ahead of schedule in some clean-energy goals,yes,positive,3
"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Encourages XL Fleet ( XL) Investors with Losses to Contact Its Attorneys Now, Securities Class Action Filed, Company Forecasts 90% Revenue Drop in Q1 2021",yes,negative,1
Fortnite maker sues Apple for monopoly abuse after being kicked off App Store,yes,negative,1
"Four months into Brexit, the UK and France have resorted to gunboat diplomacy over fish",no,not_esg,0
Celtics donating $ 25M to racial justice initiatives in Boston,yes,positive,3
Opportunities in Dems ' clean energy plans to dominate Q2 utility earnings talks,no,not_esg,0
"Google, Apple, Facebook, Amazon go virtually to Washington: Big Tech CEOs questioned over antitrust concerns",yes,negative,1
"Almirall S A: announces FDA approval of Klisyri® ( tirbanibulin), a new innovative topical treatment for actinic keratosis",yes,positive,3
"Victoria's $ 5.4bn Big Housing Build: it is big, but the social housing challenge is even bigger",no,not_esg,0
"Glancy Prongay & Murray LLP: a Leading Securities Fraud Law Firm, Announces the Filing of a Securities Class Action on Behalf of Amdocs Limited ( DOX) Investors",yes,negative,1
Ohio House speaker targeted in $ 60 million public corruption case,no,neutral,2
"GoodRx: ROSEN, A TRUSTED LAW FIRM, Announces Filing of Securities Class Action Lawsuit Against GoodRx Holdings, Inc.; Encourages Investors with Losses in Excess of $ 100K to Contact the Firm - GDRX",yes,negative,1
U.S. Justice Department going 'full tilt ' on tech antitrust probe: official,no,not_esg,0
Cummins: Launches National Initiative to Improve Racial Equity,yes,positive,3
Aker: Carbon Capture AS and Aker Offshore Wind Holding AS – Contemplated Private Placement and Listing on Merkur Market,yes,neutral,2
Doral Renewables LLC ( formerly named Global Energy Generation LLC) Appoints Evan Speece as Chief Financial Officer,yes,neutral,2
HCL Technologies: California Court Denies Class Certification In Reverse Discrimination Case Brought By Job Candidates,yes,neutral,2
"Congress to grill Bezos, Zuckerberg and other tech chiefs over monopoly concerns",yes,negative,1
Will NIMBYism sink new clean energy projects?,no,not_esg,0
"TD SYNNEX: TECH DATA EXTENDS TRADE-IN SERVICES AND HARDWARE RECYCLING CAPABILITY; All kinds of equipment servers, storage, audiovisual and networking kit, as well as mobiles, notebooks, and desktops can now be traded-in and recycled",yes,positive,3
Republic end goal drought but Mitrovic's double is decisive for Serbia,no,not_esg,0
Siemens Gamesa Renewable Energy S A: CMD presentation,yes,neutral,2
Eramet: All Eramet mines are now ISO 14001 certified,yes,positive,3
